Game Name,Package Name,Description,Icon URL,Category
"MONOPOLY GO!","com.scopely.monopolygo","Hit GO! Roll the dice! Earn MONOPOLY money, interact with your friends, family members and fellow Tycoons from around the world as you explore the expanding universe of MONOPOLY GO! It’s the new way to play - board flipping cleanup not required!<br><br>Take a Break!<br><br>Escape, enjoy, dream, scheme and stay in touch with this newly reimagined twist on MONOPOLY! Let everyone’s favorite zillionaire, Mr. MONOPOLY, be your guide as you explore new boards themed after world-famous cities, fantastical lands and imaginative locales.<br><br>So MONOPOLY GO!<br><br>Experience classic fun and visuals with gameplay fit for your phone! Collect Properties, build Houses and Hotels, pull Chance Cards, and of course, earn that MONOPOLY Money! Play with your favorite game Tokens such as the Racecar, Top Hat, Battleship, and more. Earn more tokens as you go! <br><br>See MONOPOLY icons like Mr. M, Scottie and Ms. MONOPOLY come to life, and brand new characters too!<br><br>Your Family Table!<br><br>Help or hinder! -  You and friends can earn easy money with Community Chest and co-op events! Or heist their banks to help yourself get to the top. Don’t feel bad!<br><br>Collect and trade story-filled Stickers with friends and family and in our MONOPOLY GO! Facebook Trading Groups! Complete gorgeous, clever albums for huge rewards!<br><br>Features!<br><br>BUY &amp; BUILD YOUR WAY TO THE TOP<br><br>Collect Property Tile Sets to build Houses and upgrade your Houses to Hotels to get even more rent from friends! All you have to do is hit GO!<br><br>ENJOY THAT CLASSIC MONOPOLY ATMOSPHERE<br><br>Roll the dice to enjoy the classic MONOPOLY board you know and love. Featuring familiar faces such as MR. MONOPOLY, and familiar spaces such as jail (womp womp!), Railroads, Properties, Tokens and more! <br><br>PLAY WITH FRIENDS AND FAMILY<br><br>Get social! Play with friends to take full advantage of new mini-games such as Community Chest – where you and friends take a break from mischief and work together! <br><br>NEW OPPORTUNITIES EVERY DAY<br><br>Play Tournaments, the Prize Drop plinko mini-game, the Cash Grab mini-game and follow our Events for big rewards. With new Events running every hour, there are new ways to play and win every day!<br><br>MONOPOLY GO! is free to play, though some in-game items can also be purchased for real money. Internet connection is required to play the game.<br><br>The MONOPOLY name and logo, the distinctive design of the game board, the four corner squares, the MR. MONOPOLY name and character, as well as each of the distinctive elements of board and playing pieces are trademarks of Hasbro, Inc. for its property trading game and game equipment. © 1935, 2023 Hasbro.<br><br>Privacy Policy:<br>https://scopely.com/privacy/<br><br>Terms of Service:<br>http://scopely.com/tos/<br><br>Additional Information, Rights, and Choices Available to California Players: https:scopely.com/privacy/<br>#additionalinfo-california<br><br>By installing this game you agree to the terms of the license agreements.","https://play-lh.googleusercontent.com/DfYkSl-nQoMNLX2bec7EwHemrvyDYmDgzIR1jcsyt0ZAcmO_SKjuu0a1o1iSwtnl8_g","GAME_BOARD"
"Vita Mahjong","com.vitastudio.mahjong","Vita Mahjong is an Exclusive Puzzle Game of Tile Matching. We are thrilled to present the mahjong solitaire game that combines innovation with classic gameplay. It offers large tiles and a user-friendly interface compatible with pads and phones. Our goal is to provide a relaxing yet mentally engaging gaming experience, particularly focused on older adults.<br><br>At Vita Studio, we have always been dedicated to crafting mobile games designed for seniors that bring back relaxation, fun, and joy. Our repertoire includes popular titles like Vita Solitaire, Vita Color, Vita Jigsaw, Vita Word Search, Vita Block, Vita Sudoku, and more.<br><br>How to Play Vita Mahjong:<br>Playing free Vita Mahjong game is simple. Just aim to clear all the tiles on the board by matching tiles with identical images. Tap or slide two matching tiles, and they will vanish from the board. Your objective is to match tiles that are not concealed or blocked. Once all tiles are eliminated, it signifies successful completion of a majong game!<br><br>Exclusive Vita Mahjong Solitaire Game Features:<br>• Classic Mahjong Solitaire: Staying true to the original gameplay, it presents traditional card tile sets and hundreds of boards.<br>• Special Innovations: Besides the classic, our game introduces special tiles that add a fresh twist to the classic mahjong.<br>• Large-Scale Design: Our mahjong games feature large, easily readable text sizes to alleviate the strain caused by small fonts.<br>• Active Mind Levels: A special mode designed to sharpen your mind and improve memory abilities in the majong games. <br>• Customizable Scoring:  You can enjoy free classic mahjong games without a timer and any score pressure.<br>• Super Combo: When you consecutively match mahjong tiles during the game, you will unlock special experiences.<br>• Helpful Hints: Our game provides free useful props, such as hints, undo, and shuffle, to help players overcome challenging puzzles.<br>• Daily Challenge: Take on daily practice to collect trophies and improve your classic mahjong game skills.<br>• Offline Mode: Full offline support lets you enjoy Vita Mahjong anytime, anywhere, without needing internet.<br>• Multi-device: Optimized for pad and phone, ensuring everyone can enjoy the classic mahjong game.<br><br>Vita Mahjong offers seniors a game tailored to their unique preferences. Download Vita Mahjong and start your amazing solitaire adventure now!<br><br>Contact us via: support@vitastudio.ai<br>For more information, you can:<br>Join our Facebook group: https://www.facebook.com/groups/vitastudio<br>Visit our website: https://www.vitastudio.ai/","https://play-lh.googleusercontent.com/uqRUH5NPLigNiEfIWr9FtYgucUB_R--nINnkufTJvf3MWna7kPFoRNYlqZHuVi-e6FY","GAME_BOARD"
"Happy Color®: Coloring Book","com.pixel.art.coloring.color.number","Discover Happy Color: mixing digital art games and exclusive paint by number puzzles. Our adult coloring book features exclusive nature, fashion, Disney designs and much more - Happy Color contains all the art games you need, whether you’re looking for a fun, creative moment with a color by number game or for an antistress, art therapy app.<br><br>Enjoy everyday entertainment and art therapy. Bring fun and relaxing games into your life with Happy Color, a paint by number app designed for people of all ages and lifestyles. From casual coloring games to the finest art puzzle, this is the digital art app you need.<br><br>5 reasons to download Happy Color:<br><br>- Painting made easy: just tap on the template of your choice and start a paint by number game. Simple, creative and deeply satisfying.<br>- Exclusive digital art games: our partnership with Disney allows you to color unique art pieces featuring your favorite characters.<br>- Paint for a good cause: Happy Color is a partner of several charities around the world. Enjoy antistress coloring games with pictures that support children’s charities and environmental protection organizations.<br>- Varied and inclusive art: our adult coloring book is the work of artists from all over the world. Immerse yourself into happy, positive pictures with coloring games coming from all cultures.<br>- Relaxing games and art therapy: paint your worries away with our art games. With true antistress effects, our coloring games game will allow you to express yourself creatively and enjoy the calming effects of art therapy.<br><br><br>Experience the antistress effect of an adult coloring book: our coloring games are the perfect solution when you&#39;re facing boredom, need to express yourself creatively or when you need to turn to relaxing games to decompress. Just start painting a Disney or nature piece of art and feel your worries seep away.<br><br>From relaxing games to creative outlet, Happy Color is the ideal game to follow you everywhere. Discover a coloring book mixing art games and coloring games, all wrapped in an app that will accompany you through your antistress needs.<br><br>We are constantly working to make our adult coloring book better. Please share your feedback at support.happycolor@x-flow.app<br><br>Join our supportive and friendly online community on Facebook and Instagram, share the pictures you color with your friends and family.<br><br>https://mobile.facebook.com/happycolorbynumber/<br>https://instagram.com/happycolor_official<br><br>Terms of Use: https://xflowgames.com/terms-of-use.html<br>Privacy Policy: https://xflowgames.com/privacy-policy.html<br><br>Happy Color has a lot of unique pictures hand drawn by professional artists, as well as pics of famous characters, comics, cartoons etc. owned by well-known studios.<br><br>DISNEY (© 2024 DISNEY)","https://play-lh.googleusercontent.com/AnnbkCOHz1sI1snQucsCA2Dg_T4WPOPs_G7tZBRrMJ0tFY8vsB6XKXv83xRLj5fanQ","GAME_BOARD"
"Bingo Blitz™️ - Bingo Games","air.com.buffalo_studios.newflashbingo","Experience your free online bingo game as you never have before, while going on a free bingo games adventure, in Bingo Blitz. <br><br>Join Blitzy the cat for awesome online bingo games missions, online bingo freebies, goodies and more bingo game fun! <br><br>What are you waiting for? Get playing Bingo Blitz now and embark on a story of fascinating free bingo games to play.<br><br>•  Multiple card play: One bingo card is SO old-skool - play multiple free bingo boards at the same time!<br>•  Grab Powerups: Need a little extra power for your online free bingo game? Grab powerups for even bigger bingo wins! <br>•  Collect souvenirs: What’s a round the world trip if you don&#39;t have cool stuff to show for it? Grab souvenirs in every city you visit!<br>•  Win special bingo cards: This is Bingo Blitz, a free bingo game with a difference - we do things a bit differently here.<br>•  Play epic mini-games! Bingo Blitz is about more than just free bingo games - play mini-games while you wait for your next bingo game to start!<br>• Journey around the world for freebies and free credits.<br>•  Go with the seasons: Check out Blitzy’s awesome Seasonal and Featured bingo rooms, for even bigger free bingo prizes, collection items and online bingo rewards!<br><br><b>Get Daily Extra Goodies - Epic Free Bingo Games to play, Just For You!</b> <br>We love our Bingo Blitz players, and we like to show you the love daily!<br><br>•  Journey around the world for daily free coins and credits: free bingo games don&#39;t get better than this!<br>•  Play epic bingo side games worldwide, including bingo slot machine spins and spin the bingo bonus wheel!<br>•  Go on fun free bingo quests all around the world for epic bingo live prizes and bonuses, including extra credits, coins and power-ups!<br>•   Play free bingo games tournaments, with daily wins!<br><br>Looking for epic free bingo games with cool daily extras? You&#39;ve got it all, in Bingo Blitz!<br><br><b>Let’s Take Things Online: Bingo Online - Get Social and Play Online Bingo Games!</b><br><br>International online bingo game is so much more fun with friends; free bingo doesn&#39;t get much better than this!<br><br>•  Chat away in the online bingo live chat room!<br>•  Invite your friends for even bigger free bingo bonuses!<br>•  Trade cards from all of your bingo games, and complete your collections quicker for more rewards!<br>•  Share the love, and share your bingo pop wins with your friends!<br><br>Check out the new <a href=""https://www.youtube.com/user/BuffaloStudiosTV/featured"">Bingo Blitz TV YouTube channel</a> for all the latest news, tips, updates, and incredible surprises!<br><br><b>Get in touch: Tell us about playing the Free Bingo Game!</b><br><br>We would love to hear from you, wherever you are in the world! You can reach us at http://Bingoblitz.support.buffalo-studios.com.<br><br>Bingo Blitz is intended for those 21 and older for amusement purposes only and does not offer ‘real money’ gambling, or an opportunity to win real money or real prizes based on game play. Playing or success in this game does not imply future success at ‘real money’ gambling.<br><br>Bingo Blitz does not require payment to download and play, but it also allows you to purchase virtual items with real money inside the game. You can disable in-app purchases in your device’s settings. Bingo Blitz may also contain advertising. You may require an internet connection to play Bingo Blitz and access its social features. You can also find more information about the functionality, compatibility and interoperability of Bingo Blitz in the above description and additional app store information. <br><br>By downloading this game, you agree to future game updates as released on your app store or social network. You may choose to update this game, but if you do not update, your game experience and functionalities may be reduced.<br><br>Terms of Service: https://www.playtika.com/terms-service/<br>Privacy Notice: https://www.playtika.com/privacy-notice/<br><br>Developed by Playtika LTD.","https://play-lh.googleusercontent.com/fP5lMNPHwLFfB2G6qZCgIyce6lsBk-lU9tranBuVbhkw_7GQR6RtSV2Axhq2ppD_sujI","GAME_BOARD"
"Color Oasis - Color by Number","com.tapcolor.color.coloring.number.paint.free","Indulge in a calming coloring experience that takes you on a journey of tranquility. Release your worries, relieve stress, and fully immerse yourself in the peaceful world of coloring.<br><br>Infuse life into these realistic paintings and rediscover the long-lost peace and beauty within your heart. As colors fill the canvas, tranquility, and immersion washes over you.<br><br>Immerse yourself in an oasis of calmness and relaxation:<br>- Explore immersive paintings that promote focus and breathe life into your creations.<br>- Accompanied by soothing background music, relieve anxiety and embrace the flow experience during the coloring process, enjoying a sense of calm, vitality, and happiness as the paintings come alive.<br><br>A large selection of high-quality paintings:<br>- Crafted by talented artists, our detailed and clear paintings ensure quality.<br>- Choose from a wide array of paintings to find the perfect painting that suits your unique style, including breathtaking natural landscapes, charming country cabins, diverse animal species, healing pet companions, and more.<br>- Mandalas and Patterns offer a path to inner peace and harmony, satisfying your artistic appetite while keeping you focused and spiritually fulfilled.<br><br>Additional features:<br>- Thoughtful design: For mature adults and seniors, designed with larger numbers and buttons,  providing a simple and easy way for people of all ages to enjoy.<br>- Quote of the Day: Start each day inspired, empowered, and renewed.<br><br>Take a break and discover inner peace, vitality, love, and happiness. It&#39;s time to embark on a relaxing journey.<br><br>Please feel free to contact us at support@colorbynumber.freshdesk.com for any questions or assistance.","https://play-lh.googleusercontent.com/UP0MYbhlYrnvyBndS2KyrFK1mU2GRIvjaO66XqWml_1eRxKNftw9mKWsoC7Sfgzp1jU","GAME_BOARD"
"Woodber - Classic Number Game","and.lihuhu.woober","<b>Woodber - perfect combination of classic number match with wood block puzzle game!</b>This old-school brain tester from our childhood has returned with a new witty look. Dive into the world of cross math &amp; number game every day to sharpen your mind and increase your IQ. Have a woody good time by playing this zen relaxing woody puzzle filled with wood nuts &amp; a satisfying crunch! <br><br>🧩 <b>HOW TO PLAY</b> 🧩<br>✓ The goal is to clear all the numbers from the board<br>✓ Clear all digits from the wood grid by deleting pairs of equal digits (1 and 1, 6 and 6) or matching pairs of digits that make ten (6 and 4, 3 and 7), all within the framework of cross math and wood nuts<br>✓ Pairs can be connected in adjacent horizontal, vertical, and diagonal cells, as well as at the end of one line and the beginning of the next<br>✓ In case you run out of moves, drop the number lines at the bottom to conquer the cross math &amp; number match<br>✓ Speed up with Hints if you are stuck in this number puzzle, let&#39;s become a true number master &amp; wood nuts!<br>✓ Level up once all the numbers are removed from the number puzzle grid <br><br>🧩 <b>DAILY CHALLENGE AND GIFT</b> 🧩<br>For extra fun, we have prepared something special for you. Play Woodber journey with 100s of new woody block puzzle games every week for free! Each Woodber woody puzzle has a different goal; collect gems and amazing awards!Enjoy daily achievements and unlock cool badges which will definitely cheer you up!<br><br>🧩 <b>MORE WOODBER FEATURE</b> 🧩<br><br>- Statistics - Track your daily Woodber progress, best time, and other achievements<br>- Unlimited Hints - Stuck? No worries, easily go on with one tap! Let&#39;s drop the number lines!<br>- Auto-save - If you get distracted and quit your Woodber game unfinished, we’ll save it for you so you can resume anytime<br>- Beautiful graphics and satisfying crunch sound effects<br>- Complete Daily challenges or seasonal events to get unique trophies<br>- Relaxing wood block gameplay with no pressure or time limit<br>- Update hundreds of new puzzles every week<br>- NO WIFI? NO PROBLEM – Enjoy block puzzle games anytime, anywhere!<br><br><b>Woodber</b> is a true legend among number games like 2048, 2248 and classic sudoku puzzles. This easy mind game is also known as Numberama, Number Match, Take Ten, Match Ten, Merge Number or 10 Seeds. You can play it either online or offline by using a sheet of paper, but nowadays, we prefer mobile versions of tile puzzle games, which you can play on the go :) Solving a number puzzle a day will help you with logic, memory, and math skills training!<br>There are a lot of ways to solve the logic number puzzle, but it’s not as easy as it seems or as playing 2048, 2248. People say this super addictive and relaxing puzzle game helps their mental health as well as lets them relax especially after a hard day. Tease your brain and enjoy an engaging number games experience! If you like merging numbers mechanics, you will enjoy this logic number game!<br><br><b>Time flies when you&#39;re having fun! Try Woodber - one of the most addictive number games and you won&#39;t be able to put it down! Be the number master now!</b><br>If you have any questions or concerns, please do not hesitate to contact us: support@lihuhugames.com","https://play-lh.googleusercontent.com/QUTqwiGLNpmcJXw6Vlo7eDdCIzUPtwnsEYCcLqhxy6d_pPZqjJpp_eKCa1sdOVi-o0g","GAME_BOARD"
"Color by Number：Coloring Games","com.tfgco.apps.coloring.free.color.by.number","🎨 Discover a world of relaxation, creativity, and diversity with Color by Number: Coloring Game - the ultimate stress-relieving pixel art game! Explore our vast collection of color by number images from various cultures and artists worldwide or import your own pictures to create a personalized color by number experience. Join millions of users and share your masterpieces with our vibrant community.<br><br>🌟 Key Features:<br>• Easy color by number: Dive into a wide variety of pixel art images designed for both beginners and experienced colorists, featuring popular themes and unique content.<br>• Create unique images: Import pictures from your gallery or snap a photo to turn your memories into color by number masterpieces.<br>• Community sharing: Share your color by number creations and discover other users&#39; pixel art in our thriving community of coloring enthusiasts.<br>• Diverse painting tools: Experiment with different tools to make coloring and drawing more fun and efficient.<br>• Inclusive and diverse art: Immerse yourself in a rich variety of color by number art from different cultures and artists, promoting creativity and inclusiveness.<br>• Antistress and relaxation: Enjoy the calming effects of art therapy as you unwind with our engaging and satisfying color by number game.<br><br>🖌️ Get ready to relax and express your creativity with this free coloring game that combines the joy of art with the benefits of stress relief. Whether you&#39;re a seasoned artist or just looking for a peaceful pastime, Color by Number: Coloring Game offers an engaging and satisfying experience for everyone. Download now and start your colorful journey today!","https://play-lh.googleusercontent.com/7BIu-nLPuxUMTDATJ_mZu1wVMZAaxMGjJuQFrGxUS7-pb4IXZqGRq8LKJEXzJrejB3Tf","GAME_BOARD"
"Zen Color - Color By Number","happy.paint.coloring.color.number","Experience real tranquility with Zen Color, the first coloring game inspired by Zen. Our team is dedicated to providing you with the ultimate relaxing and fulfilling gaming experience. Let go of your worries, forget your stress, and finally put your mind at ease by immersing yourself in the world of Zen coloring.<br><br>Escape from the daily grind and chaos of life. Open up Zen Color anytime, anywhere, and transport yourself to a place where you can:<br><br>* Imagine sipping a cup of coffee in the morning, the birds chirping just outside the window, watching golden sunbeams filtering through the trees.<br>* Enjoy a tranquil tea break on the perfect afternoon, where everything feels peaceful and just right.<br>* Transport yourself to a Japanese Zen courtyard, feeling as one with everything around you as you watch the steaming teapot by your side.<br>…<br>Zen Color invites you to breathe life into these realistic pictures and rediscover the long-lost peace and beauty in your heart. With every tap of the color number, Zen Color brings tranquility and relaxation to your fingertips.<br><br>ZEN COLOR FEATURES<br><br>INCREDIBLE CALM &amp; RELAXATION<br><br>* Explore unique Zen-inspired pictures that help clear the fog and focus your mind while giving you a boost of positive energy.<br>* Find your groove and get into the flow while coloring by numbers with relaxing 60bpm background music.<br>* Immerse yourself in the beauty and tranquility of nature, leaving your worries behind to let you unwind.<br>* Sooth anxieties and have fun with the Flow Experience during the coloring process, which includes categories like Calm, Focus, Zen, Affection, Happiness, and more.<br><br>A LARGE SELECTION of MASTERFUL PAINTINGS<br><br>* Each picture is carefully crafted by highly talented artists hailing from all corneres of the globe, ensuring content consisting of only the best quality.<br>* Choose from a vast selection of pictures so you can find the perfect painting to suit your style.<br>* Discover scenes such as brilliant natural landscapes, animals of all shapes and sizes, cozy lifestyles, your favorite pets, and more in Zen Color.<br>* Mandalas and geometric patterns can help you find inner peace and harmony, sating your artistic appetite while allowing you to stay focused and spiritually fulfilled.<br><br>ALSO FEATURING<br><br>* A distinctive eye-friendly dark mode designed for comfortable coloring at night.<br>* Outstanding app stability, excellent data security, and a user-friendly interface for an exceptional user experience.<br><br>Zen Color offers everyone’s inner artist a relaxing and peaceful coloring experience in this fast-paced and noisy world. If you&#39;re looking to take a break and find inner peace by doing some coloring, look no further than Zen Color. It&#39;s the perfect choice when you want to unwind and take some time for yourself. This amazing coloring game can help you reclaim those quiet moments in life for yourself once and for all!<br><br>Take a 10-minute break to discover inner peace, fulfillment, love, and happiness. It&#39;s time to embark on a calm and relaxed journey with Zen Color.<br><br>Your Privacy on Android<br>The Zen Color app requests access to your pictures when you use the Setting-Feedback-Upload pictures feature, allowing you to upload the pictures of your choice to our server, so your feedback can be implemented faster. We do not sell any personal information you provide us or share your private information without your consent. Your privacy is and will always be our first priority! <br><br>Contact us: zencolor_support@kidultlovin.com<br>Follow our page: https://www.facebook.com/ZenColorColorbyNumber","https://play-lh.googleusercontent.com/kJniSqlwnf6wRXOGHCsuu512sqrUz6bW_D_O0tBV13XKkD09-4NJNW5PQx1qUwJ-hcIG","GAME_BOARD"
"Yatzy - Fun Classic Dice Game","com.playvalve.yatzy","Looking for a free online dice game to play alone or with your family and friends? Whether you call it Yatze, Yatzi, Yatzee, or Yahtzee, this Yatzy app is the best classic dice game for testing your luck and strategy skills. 🎲 Roll the dice now to see if you can score BIG with a <b>lucky Yatzy</b>! 🎉<br><br>▶️<b>HOW TO PLAY?</b> ▶️<br>Even if you’ve never played this dice board game before, Yatzi is fun, fast, and easy to learn!<br><br>Yatzy is composed of 13 rounds, each round containing 5 dice that can be rolled up to 3 times. <br>Your goal is to achieve the highest score by completing as many of the 13 dice combinations as possible. <br>You can score once and only once in each combination, so choose wisely!<br><br>🏆 <b>SPECIAL FEATURES</b> 🏆<br>▪️ Play to earn Dice and take advantage of big boosters like Bonus Rolls and Restart Turns<br>▪️ Level up to unlock custom dice faces<br>▪️ Win prizes every day with the Scratcher Card and Lucky Spin wheel of fortune<br>▪️ Keep track of your progress on the Scoreboard and improve your skills<br>▪️ Choose between 3 Play Modes: Solo, Two-Player, and Three-Player<br>▪️ Multiplayer Game Modes include: Play Against Opponent with a bot, Play Online against a random player, and Local Pass &amp; Play with friends<br><br>🎲 <b>HIGHLIGHTS</b> 🎲<br>▪️ Suitable for all ages — play with all your friends and family!<br>▪️ Play offline in almost all modes, no Wi-Fi needed<br>▪️ Keep your brain sharp by perfecting your strategy and choosing the best combination<br>▪️ Play on any device (phone &amp; tablet friendly)<br>▪️ Enjoy relaxing sound effects, or play without audio if you’re on the go<br>▪️ Multiple languages supported<br>▪️ Yatzy costs nothing to download and play!<br><br>Download now to play this <b>free Yatzy app</b> on Android, one of the best dice games of 2022! The family game is easy to learn, but difficult to master! Do you have the luck and skills to roll big and take home the Yatzy crown?  👑","https://play-lh.googleusercontent.com/ycb45SOcSD3xxLGqpJUXzssyhAoRcy9HPUOWGp-5j5Yj484YPutyTl9sa0WhB9lLyiE","GAME_BOARD"
"Coloring Book: Color by Number","com.iceors.colorbook.release","Coloring Book, also known as color by number, paint by number, painting by number, is the best way to blow your stress away! Discover tons of free coloring pages to create your own artworks now. Relax and happy coloring!<br><br>Don’t know much about painting? No worries! Each picture has light blue or gray lines indicate areas to paint, and each area has a number and a corresponding numbered paint to use. Just follow the numbers and coloring has never been easier!<br><br>This coloring book allows you to choose from the world most famous paintings including Mona Lisa, Starry Night, The Last Supper and etc. Follow the numbers to bring these famous paintings to transcend time and make history.<br><br>Coloring Book Features:<br>- Easily color any picture number by number and wait for the surprise in the end<br>- No pencil and paper needed, no specific skills are required<br>- Color and recolor pictures whenever you want and wherever you are<br>- Various coloring pages in different categories including Mandala, floral, animals, nature, unicorns &amp; etc.<br>- Famous paintings by Leonardo da Vinci, Michelangelo, Vincent van Gogh &amp; etc.<br>- Share your creations on all major social networks","https://play-lh.googleusercontent.com/zpJl9PEBsIva3qYBRuS8TBRFEPeLbh4pOnLwnGcfKHkFE3PL9c9lWzwWgWq47hGg3lv-","GAME_BOARD"
