Game Name,Package Name,Description,Icon URL,Category
"Fortune Scratch Life:Earn cash","com.use.specie.scratch.card","Fortune Scratch Life is the ultimate scratch card game that brings the excitement of real-life scratching to your fingertips. Immerse yourself in the thrill of uncovering hidden treasures and winning big prizes in this virtual scratch card extravaganza. Simply swipe across the screen to scratch off the protective layer and reveal the symbols beneath. If you match the winning combination, you could be one step closer to hitting the jackpot!<br><br>But there&#39;s more to Fortune Scratch Life than just cash prizes. As you scratch, keep an eye out for special items such as collectibles, characters, and even treasure chests. Collect enough of these items, and you&#39;ll unlock exciting bonus features and rewards that will enhance your gameplay experience.<br><br>To add to the fun and keep players engaged, Fortune Scratch Life allows you to accumulate game winnings and build up your game funds. As you continue scratching and winning, you&#39;ll earn game credits that can be redeemed for exclusive rewards within the app. The more you play, the more chances you have to win and unlock more gameplay!<br><br>Rest assured, we take fair play seriously. Our app incorporates multiple anti-cheating measures to ensure a level playing field for all users. Additionally, all redemption requests are manually reviewed by our team within 3-7 business days to maintain transparency and integrity.<br><br>If you have any questions, concerns, or simply want to share your feedback, our dedicated support team is just an email away. We value your satisfaction and strive to provide the best gaming experience possible!<br><br>Get ready to scratch, collect, and win with Fortune Scratch Life! Download now and let the scratching adventure begin!","https://play-lh.googleusercontent.com/9nCmEFt0PSJaDedx-dRdu_h1WMB_2zE04_MxfHBMu09RKKhEVfJbnhhuEUEino1OHmA","GAME_CASINO"
"Jackpot World™ - Slots Casino","com.grandegames.slots.dafu.casino","Welcome to Jackpot World, where the best online casino slot machines and Vegas slots games are waiting for you! <br><br>**Long for enjoying the thrills of spinning on free casino slot games?<br>**Long for the excitement of hitting JACKPOTS and unlocking stunning free slot casino games features?<br><br>Spin and have fun at anytime and anywhere with the this best free slot app!<br><br>Download Jackpot World Casino, one of the most popular free casino slot games, to enjoy ultimate fun of Las Vegas roulette and free slot machine game. Massive hot premium casino game like free slot machine games with bonus and new creative styles release once a week!<br><br>**What’s in Jackpot World Casino Slots?**<br>-Free slots casino games release weekly! <br>-6,000,000 WELCOME BONUS! <br>-Get HUGE casino &amp; slots rewards ALL THE TIME! <br>-Huge &amp; extra bonuses awarded when spinning in the free slot machine games! <br>-Get 10,000,000 casino slots free bonus every day!<br>-Enjoy exclusive casino slots game bonus coins every 15 minutes!<br>-Hit huge jackpots &amp; exclusive Vegas slots casino games features in all slots!<br>-Collect VIP game bonus gifts by achieving status through entertaining and exciting spins on the best casino slot free game every day!<br><br>**What can you receive in Jackpot World Casino Slots?**<br>Give your luck a try at the free casino slot games, including classic 777 slot game, Fortune Tree, Mighty Tiger, and new casino slots free like Leprechaun Blast, Werewolf Night! All of the mobile free slot machine games with game bonus features will create the most realistic Vegas roulette and casino slots  experience for our slots fans.<br>Offer you exciting Vegas casino slots free with the spinning reels and bonus-wheels revealing BIG WINS as you hit the 777 casino jackpots!<br>Offer you the WILDEST collection of free casino slot games around the world!<br>All slots unlocked and new free slot machine games are rolled out at least once a week!<br>More exclusive Vegas slots games &amp; classic 777 slots with amazing features and authentic Mega Wins Await!<br><br>Get ready to experience the excitement of Vegas right at your fingertips! Spin and respin the reels, win prizes, hit the jackpot and feel like you&#39;re on the real casino floor. And best of all, you don&#39;t have to be a billionaire to enjoy these real Vegas slots - they&#39;re all free! Slot machine players can play classic slots from the comfort of their own home. The Jackpot Word Casino is always open, so you can play anytime, anywhere.<br><br>So what are you waiting for? Download now to spin and win big in your favorite Vegas slots and top casino games!<br>Jackpot World casino slots are the amazing Vegas slots experience for mobile; the best slot machine games are here. Take a journey on spinning and winning with these classic slot machine games! Vegas slots, help you relax. When you play casino slots , it gives you a thril experience! Free slot machine games combine entertainment, challenging classic 777 slots, and free casino slot games. Download this best slot machines app and start spinning!<br><br>🔔 Note:<br>* Jackpot World Casino does not offer real money gambling games. It is intended for an adult audience for entertainment purposes only.<br>* Practice or success at social casino gaming does not imply future success at real money gambling and gaming.<br>* This game includes in-app purchases<br>* “Coins” and “Bonus” mentioned above are game currency, not real currency, and you only get game currency if you win in this game.","https://play-lh.googleusercontent.com/553dTbFvYq5WdaFTP2q897ZmpblVbrRtPDBRJE2_3L06kih2gYKwKMMCvvbgKDFZOz4","GAME_CASINO"
"Play To Win: Real Money Games","net.playtowingames.casino","Play To Win offers the authentic Vegas casino experience! Fun, free slots and bingo, exciting tournaments, with the added excitement of Sweepstakes Cash Prizes.  Play everyday to earn entries into our Daily Cash Sweepstake drawing and our Grand Prize drawings!<br><br><b>FREE Tournaments</b><br><br>Play to win in fun <b>weekly</b>, <b>daily</b> and <b>hourly</b> tournaments. All tournaments are free to enter, no purchase required! Keep an eye out for Sweepstakes Tournaments where Lucky Tournament Winners win real cash prizes, all tournaments are free to enter.<br><br><b>Slot Tournaments</b><br>Win prizes in daily slot tournaments! Enter daily and flash tournaments to win VIP Status; or in-game items with flash tournaments every day. Earn points from spins and climb the leaderboard!<br><br><b>Showtime Bingo and Flash Bingo</b><br>Free to play Bingo every night at 10pm EST with guaranteed winners! Lucky Winners of Showtime Bingo and Flash Bingo win real cash prizes every day.<br><br><b>Slot Machines</b><br>Play To Win also has fun games you can enjoy! Free casino games include 30+ slot machines to play for fun &amp; more to come. Plus: BONUS mini-games! More games on the way, come back to play video poker, bingo black jack and more!<br><br>Be a winner in our High Limit Club and High Roller Club! Become a Play To Win VIP for even more opportunities to play!<br><br>Plus, decorate your virtual dream home with fun themes and furniture!<br><br>Download Play To Win today and find all the great ways to win!<br><br>PLAY TO WIN FEATURES<br><br><b>SLOT TOURNAMENTS</b><br>- Enter daily and flash slot tournaments!<br>- Earn points and aim for the top score<br>- Slot tournaments give everyone an equal chance. Play To Win, don’t pay to win!<br>- Bonus VIP or in-game prizes await!<br><br><b>BINGO TOURNAMENTS</b><br>- Play bingo and daub your way to earn Showtime Round cards!<br>- Bingo at home every night in Showtime Bingo and Flash Bingo. Guaranteed winners!<br>- Bingo live at 10pm EST – lucky winners earn real prizes!<br><br><b>FREE CASINO GAMES</b><br>- Free slot machine games<br>- 30+ slot machines to enjoy<br>- Casino games with a fun Las Vegas feel<br><br><b>CASINO GAME CLUBS</b><br>- Bonus rewards for top players!<br>- Play casino games to become a member of our High Limit Club and High Roller Club. Unlock BIGGER bonuses!<br><br><b>PIGGY BANK BONUS REWARDS</b><br>- Spin slot machine reels to fill up your piggy bank<br>- Earn HUGE coin bonuses when your piggy bank is full!<br>---<br>Success within this game does not imply future success with real money gambling<br><br>This game does not offer real money gambling or any opportunities to win real money or prizes from gambling activities<br><br>These tournaments are devised as non-gambling promotions and are intended solely for entertainment purposes.<br><br>Play To Win does <b>not</b> include content or services that enable or facilitate users’ ability to wager, stake, or participate using real money (including in-app items purchased with money) to obtain a prize of real world monetary value.<br><br>Play To Win does <b>not</b> accept money in exchange for an opportunity to win a physical or monetary prize; <b>nor</b> does it allow for players to wager, stake, or participate in real-money games, contests or tournaments using real money; <b>nor</b> does it accept or manage wagers, in-app currencies, winnings, or deposits in order to gamble for, or obtain a physical or monetary prize.<br><br>Google Inc. does not sponsor, nor is any way affiliated with Play To Win and/or the sweepstakes and/or tournament prizes.<br><br>This game is intended for an adult audience","https://play-lh.googleusercontent.com/s1KetLT_xm0dFaOYF4IAwr8aTHeA2-jOq5fdloEaN_9BBD7WyFRofIUsE-Feb-3Erdxo","GAME_CASINO"
"Lotsa Slots - Casino Games","com.diamondlife.slots.vegas.free","Hey slots lovers! Get ready to experience the thrill of a real casino right on your device with our free slots games! <br>Get 20,000,000 welcome bonus for a rich start when you play our casino slots with bonus game！<br><br>Experience the ultimate Las Vegas casino slots party with Lotsa Slots - Slot Machines! Spin to win on your favorite casino slot games and hit the jackpot to win! Join the social casino game of 2024 now! <br><br><b>★Top Free Slots Casino Games★</b><br><br>Get ready for the ultimate casino experience with our free games! Spin the wheel and watch your luck change as you hit the jackpot. Don&#39;t miss out on Trophy, where you can earn free coins and compete for even bigger prizes. Plus, fall in love with our mini games - collect bingo balls as you spin to win amazing prizes. Start spinning now and collect your free online bingo balls today!<br><br><b>More than 150+ free casino slots games</b><br>The authentic casino &amp; slots experience just got better! Want to get numerous game coins in slots games online? Now with Lotsa Slots, enjoy big game wins and bonus rounds anytime, all the features and new slots 2024 rewards come together to create the ultimate and the newest casino-slots.<br><br><b>Larger-than-life game JACKPOTS</b><br>Jackpots are waiting for you on the top Vegas casino slots games! Install Lotsa Slots - free casino video slots now and collect the Lotsa Limited Special Welcome Gifts plus daily game coins and more. Enjoy grand coins Jackpot at this slots game online.<br><br><b>★Top features★</b><br><br>Lotsa Slots - free casino slot games, brings you the best Las Vegas slots machines experiences. Play and enjoy the full of good luck in this free slots casino game! Download now to HIT JACKPOTS in 150+ casino slots with game coins!<br> <br>Awesome features and massive Lotsa-Bonus are waiting for you. Come to be the lucky billion gamer in casino slots free!<br>► Get free spins from all of the free slot games!<br>► Added free slot machine games each week!<br>► Popular casino games for free here designed by professionals.<br>► Get 20,000,000 game coins for a start when you play our free casino slots games！<br>► Exclusive offer and promotion in our slot games will help you go further! <br>► Reach huge prizes through this top slot machine games for free!<br>► Get your game Jackpot trophies in your favorite Vegas slots casino games <br>► Quests and daily events only in this online casino games for free<br><br>Enjoy Casino Games for Free and start spinning slots casino games! If you like apps that constantly give you updated free content, you’ll enjoy it. This slots games online app is always adding new slot machines so that you can experience a lots of fun within one casino app.<br><br><b>Free Coins everywhere!</b><br>With this  Vegas casino slots, the more you spin, the more Lotsa gifts you will gain! The coins get higher and higher as you play our free slots games online. No other free casino slot games with offers what Lotsa Slots does, with special in-game treasure every day, even every hour! Spin the Lucky wheel and watch the coins keep piling up!<br><br><br><b>Note:</b><br>* We do not offer real money gambling games. It is free casino games for adults<br>* Practice or success at social casino gaming does not imply future success at real money gambling and gaming.<br>* This game includes in-app purchases <br>* “Coins” and “Bonus” mentioned above are game currency, not real money. And you can only get game currency if you win in this game.","https://play-lh.googleusercontent.com/MzGQrSz1rOmHY61fumM29r-ftEFX80cbOoeUUtEMY9otXd7yo9OcgccmoyjK76POl-M","GAME_CASINO"
"Slotomania™ Slots Casino Games","air.com.playtika.slotomania","First time playing Slotomania? Begin your casino slots adventure with 1,000,000 Free Coins Welcome Bonus! Join the slots excitement &amp; WIN bigger jackpots than ever before!<br><br>We have some fantastic news for you. We have added some new ways to win that will make your casino slots experience even more fun and rewarding.<br><br>Here are some of the main features: <br>● We have added new time-limited Smashes to Smash It! Now you can get more rewards and recognition for your loyalty. Complete Smashes to earn Smash Chips and choose rewards in the new Smash Market, with even more ways to earn chips! <br>● A brand-new Daily Bonus so you can start your day with a FREE Win.<br>● Abrand-new SlotoCards album! A new collectible, inspired by nostalgic sticker albums - collect all the SlotoStickers to reveal the picture &amp; win an amazing prize <br>●We have added ‘Battlesheep’. Enjoy an exciting new way to win a Wild Card where you get to choose your way to uncover victory and win a WILD CARD.<br>● The new slot machine, Aquila. An all-new Coin Grab feature awaits you where you can win up to X2700 your bet with the Bonus Reel! <br><br>So don’t wait any longer, go experience glorious new ways to win in this crazy casino slots game. Happy spinning!<br><br>Enjoy casino game rewards &amp; free slot machine bonuses for you and your SlotoClan! <br><br>● Get VIP casino treatment in the SlotoClub: exclusive Vegas slots rewards, huge jackpots and free slot machines access! <br><br>● Level-up your Slots Rewards: Mega Bonus, Special quick hit prizes, and Free Slot Spins! <br><br>Free Casino Slot Machines &amp; Fun 777 Casino Slot Games! <br>● Premium 777 free slots casino games and jackpot slots! <br>● 1,000,000 Free Coins for new slots players &amp; Free casino game bonuses! Try your luck now! <br>● Feel the Las Vegas magic and get ready to hit it rich! Spin some Vegas downtown Slots from home! <br><br>Get Social, Slotomania-style! <br><br>Win even more free slot machine rewards, share what you love about Slotomania with 14 million other casino slots fans on Facebook (www.facebook.com/slotomania) &amp; 50,000+ casino slots fans on Instagram, (www.instagram.com/Slotomania)! Try out the all-immersive casino Slotomania on desktop too (slotomania.com)! <br><br>Slotomania is intended for those 21 and older for amusement purposes only and does not offer ‘real money’ gambling, or an opportunity to win real money or real prizes based on game play. Playing or success in this game does not imply future success at ‘real money’ gambling. <br><br>Slotomania does not require payment to download and play, but it also allows you to purchase virtual items with real money inside the game. You can disable in-app purchases in your device’s settings. Slotomania may also contain advertising. You may require an internet connection to play Slotomania and access its social features. You can also find more information about the functionality, compatibility and interoperability of Slotomania in the above description and additional app store information. <br><br>By downloading this game, you agree to future game updates as released on your app store or social network. You may choose to update this game, but if you do not update, your game experience and functionalities may be reduced. <br><br>No purchase necessary. #1 free slots game based on MAU, in comparison to other free slots games, data.ai, 2023 (year to date). Slotomania is not a real money app and does not offer real money gambling. Gameplay depicted may be simulated and not actual gameplay. Free Piggy (at level 45), 1 million free coins &amp; the special 2024 multiplier are gifts for new installs only. In app purchases are available, Playtika Ltd. © 2023-2024 All rights reserved. App store is a service mark of Apple INC registered in the U.S. and other countries. Google Play and the Google Play logo are trademarks of Google LLC.​<br><br>Terms of Service: https://www.playtika.com/terms-service/ <br>Privacy Notice: https://www.playtika.com/privacy-notice/","https://play-lh.googleusercontent.com/MUvY3UAe55qyZHc12UXn6WGUNFpc0eHSSjdqCVE91lnd7jlvFhC1ae7RCE6tblEmqJc","GAME_CASINO"
"Chumba Lite - Fun Casino Slots","co.vgw.chumbalite","WIN BIG on Chumba Lite’s FREE slot games!  <br><br>Spin any of our exciting slot machines and win huge jackpots!  Win big on our free slot machines: Gem Huntress, Diamond Panther, and Lightning Nudge!<br><br>Download now and receive a 1,000,000 gold chip bonus offer just for getting started!<br><br>The more you play, the more you earn!  Receive FREE REWARDS for leveling up, completing achievements, placing at the top of our slots leaderboards and playing every day! <br><br>WHAT’S MORE, playing Chumba Lite slots won’t cost you a cent, making us completely free to enjoy 24/7, with no purchases necessary to play.<br><br>Awesome free Casino Bonuses:<br><br>* Receive FREE gold chips on a regular basis with the FREE GOLD SPINWHEEL!<br><br>* Collect the spin wheel 4 times for and receive a FREE spin on the MEGA SPINWHEEL!<br><br>* FREE gold chips for new players!<br><br>* FREE gold chips for signing in with Facebook!<br><br>* Many more FREE rewards daily! <br><br>Amazing free Slot Games:<br><br>* Gem Huntress: Battle the reels with Gem Huntress, where gems are the prize, but beware, the jungle holds many perils, in your quest for RICHES.<br><br>* Diamond Panther slots: 40-reel game brings the unique Shifting Vines Feature – land a full stack of the same symbol in reel 1 and see them clone across the other reels for big wins!<br><br>* Lightning Nudge slots: A full screen of wilds could land you a BIG prize with the 5 multiplier. When a wild misses the reel by one position on the top or bottom edge the nudging wilds activate and nudge themselves into the reels by 1,2 or 3 positions. <br><br>Now it’s time to install, remember Chumba Lite is totally free! Enjoy the free spins across our amazing slots paradise. <br><br>Notice:<br><br>Chumba Casino Lite is intended for adult audiences, age 21+, and does not offer &quot;real money&quot; gambling, or an opportunity to win real money or prizes based on gameplay.  Playing and success in this game does not imply future success for any &quot;real money&quot; gambling.","https://play-lh.googleusercontent.com/xHydv1EnnAUOffb0rYMxFvp_AceYqAmI6iH7jQIAZdxT0gHoNOOv2YTirpvYA-wbssu6","GAME_CASINO"
"Lucky Match - Real Money Games","com.lucky.sweepstakes.match.cash.paypal.win","⭐ <b>Win Big with Exciting Puzzle and Casual Games!</b> ⭐<br><br>Unlock the excitement of Lucky Match, where thrilling puzzles and casual games meet incredible prizes! Start your journey to rewards by matching, spinning, and winning in our diverse collection of games. With Lucky Match, every play brings you closer to amazing rewards and daily prizes. 🥇👏<br><br>Experience the joy of winning through engaging gameplay designed to challenge and entertain. Whether it’s spinning the wheel for daily bonuses or testing your skills in strategic puzzles, Lucky Match offers endless opportunities for fun and rewards.💯✅<br><br>💸 <b>Prizes Await in Every Game!</b> 💸<br><br>Dive into the world of Lucky Match for a chance to win exciting prizes every day! From the thrill of the spin to the satisfaction of a puzzle well-solved, every moment is an opportunity to earn rewards. Download now and get ready to play your way to prizes. 🍀🤞<br><br>Discover games where strategy meets luck, offering not just the excitement of gameplay but the chance to win big. With a variety of challenges and prize opportunities, Lucky Match is your gateway to fun and rewards. Play now and let every match bring you a step closer to amazing prizes! 👌<br><br>⭐ <b>Exciting Challenges, Incredible Rewards!</b> ⭐<br><br>- Take on hundreds of levels across our game range, each offering unique prizes.<br>- Daily spins and challenges to keep the excitement fresh and the rewards flowing.<br>- Engage in puzzle and casual games designed for endless entertainment and the chance to win big.<br><br>Transform your gaming experience with Lucky Match, where every game is an opportunity to win fantastic prizes. Embrace the challenge, enjoy the journey, and reap the rewards of your gameplay. It&#39;s all here in Lucky Match, where fun meets prizes!<br><br>🤑 Join the adventure in Lucky Match today and discover how rewarding playing games can be! 🤑","https://play-lh.googleusercontent.com/1oxKfyGkQg5KXojIC3nf4XS9lEa0Hvi3qGwYRyk8PtPRLDs2lWbZYFkWCD88ziLpfvQ","GAME_CASINO"
"Cashman Casino Slots Games","com.productmadness.cashmancasino","Welcome to Cashman Casino Slots Games and have fun with over +200 Social Casino Games for free. Indulge in the ultimate casino experience and try your luck at hitting a major jackpot. Collect generous slots bonuses and try your hand at playing the trendy buffalo slots &amp; dragon link slots machines.<br><br>Why Cashman Casino?<br>Massive Wins &amp; Jackpots: Dive into a world of breathtaking slots like Lightning Link, Buffalo Slots, and many more for your chance to hit the grand jackpot!<br>Daily Rewards &amp; Bonuses: Free coins? Daily spins? We’ve got it all! Enjoy endless bonuses that increase your chances of winning big every single day.<br>New Slots Games Every Month: Our Vegas casino is always expanding. Play new slots and casino games added monthly. Be the first to spin the latest reels!<br><br>Cashman Casino, presented by Aristocrat—the masterminds behind beloved free casino games such as Heart of Vegas, Mighty Fu (formerly FaFaFa), and Lightning Link Casino—brings the excitement of slot machines directly to your mobile device. Experience an incredible social casino slots games featuring your favorite free slots from the top Las Vegas casinos, Buffalo Slots and more<br><br>Cashman Casino includes exciting classic slots games (Cash Express Luxury Line), new video slots and features classic slot machines for the best online experience like no other.<br><br>This game is only available to users over +18 years old. This game is intended for entertainment purposes only and does not involve real money gambling or the opportunity to win money and prizes. Practice or success at social gaming does not imply future success at gambling<br><br>Claim your 5 million FREE VIRTUAL COINS welcome casino bonus on the house now and start spinning the reels of the most exciting Vegas slots games. With Cashman Casino, the more you spin, the more you win!<br><br>Play the best free slots games here:<br><br>Have fun playing over 200 of the world’s best free social casino style slots games:<br><br>⭐Buffalo Slots - Play both legendary and new slots games like Buffalo Link, Buffalo Ascension, Buffalo Gold, Buffalo &amp; Friends, Buffalo Triple Power, Buffalo Gold, Buffalo Frenzy, and more<br>⭐Play the best mobile casino slot games like Buffalo Gold Slots, Ra’s Awakening, Dragon Link, Raging Reels, Inferno Link, Pompeii Grand &amp; Magic Pearl<br>⭐Enjoy casino games for free with 777 reel slots, scatter slots™, progressive jackpocket slots games and bonus games<br>⭐Take a ride in our Luxury Line TimberWolf and Luxury Line Buffalo slots.<br><br>Live a casino frenzy with all these slots machines:<br>Welcome to Cashman Casino Slots Games and have fun with over +200 Social Casino Games for free. Indulge in the ultimate casino experience and try your luck at hitting a major jackpot. Collect generous slots bonuses and try your hand at playing the trendy buffalo slots &amp; dragon link slots machines.<br><br>Join our Facebook: A social club where you can make friends online to compete with: https://www.facebook.com/cashmancasino/<br><br>Your California Privacy Rights: https://www.productmadness.com/privacy-notice/<br>Do Not Sell My Personal Information: https://www.productmadness.com/dnsmpi<br><br>Experience the thrill of playing casino slot games with our slot machines, featuring classic Vegas style slots and popular titles like Buffalo Slots Games. Our updated selection of free slot ensures endless entertainment and the opportunity to win a big jackpot.","https://play-lh.googleusercontent.com/xjQ19tv9CWLww9j-XvOGCHVFlbEuhI1FrBhjbGyXylqkxBokw35L8GcFQP1OgtmEH3E","GAME_CASINO"
"Quick Hit Casino Slot Games","com.ballytechnologies.quickhitslots","Quick Hit casino slots is the ultimate free Vegas slots experience for mobile, the best classic slot machine games are just a tap away. Enjoy free spinning and winning these free slot machine games!  <br> <br>Welcome to Las Vegas! Your favorite free Vegas casino slots and top casino games are right here. Spin and respin slots, win prizes, hit the jackpot and do it all over again to feel like you’re on the real Vegas casino floor. You don’t have to be a rich cash billionaire to enjoy real Vegas slots, because these are all free casino slot games! In the Vegas slots games era of 2020 and beyond, mobile free slot machine players can enter a huge casino and play classic slots from home. The Quick hit casino is always open. <br> <br>Play classic casino games for free: The best slot games and brands make this app pop. Play all the Quick Hit slots from mega slot machine brands like Bally casino, Shuffle and WMS slots. Spin free slots that include Super Red Phoenix, Quick Hit Slots Platinum Plus, Triple Blazing 7s, Quick Hit Pro, Jackpot Empire, the Dragon Spin slot, Lock It Link Diamonds, the free slot machine Quick Hit Playboy, Lightning Jackpots, Tetris Super Jackpot, and many other new slot games! New slot machines are added all the time to make your free slots casino games experience even better. If you LOVE Las Vegas slots, this is the casino games and slots free app for you!<br> <br>Get huge Casino rewards, free slot machines games spins and bonus rounds: It’s 777 slots time! Play the Quick Hit casino slots free of charge, but these classic casino games are full of winning slots that offer a huge win to players. Play casino games to collect daily free slot machines bonuses, the slots machines lottery bonus, the slot machine bonus wheel, and free coins. Spin the wheel of the free casino slots machines and watch the jackpot magic happen! Free Vegas slots offer the thrill of real casino games, so play slots free with bonus spins all day long. <br> <br>Casino slots games are all the rage! More than other free slots games you’ll find at casinos like blackjack, poker or roulette games, slots are the heart of Vegas and the casino frenzy. Play slot machine games for free, and not just any casino game, but the best free slots around. What makes casino slot machines the best is the surprise and thrill of free slot games. Quick Hits slot games offer all that slots machine fun in one place with Vegas slots casino games that are an adventure.  <br> <br>Each casino slot fits this collection of free casino slot machines that is like a visit to the Jackpot casino. Play slot machine games that include classic Vegas slots and other casino slot machines you love. This slot casino is always open and our slot games never fail to show 777 and bring double Jackpot wins to players. Download this free slots game to your tablet (Android or iPad) as well and spin every slot machine you dream of! The ways to play are limitless! Play the best free casino games on your tablet or phone whenever and wherever you are.<br> <br>The hot FREE Vegas slot machines we’ve mentioned here and the new slots that are added constantly and at a fast pace, will boost your casino games 2020 experience. Get ready to double the casino slots fun and see 777 as you spin these slot machines for free! It’s not just a free casino, but a special slot casino that is packed with your favorite Vegas machines and fun Las Vegas games. <br> <br>Free casino games and particularly slots help you relax. When you play slot machines free, you get a thrill that takes your mind off of everything else. Free slot machines combine entertainment, challenging slots games and fun that’s unique to free slot casino game. Download the best slot machines app and start spinning!<br> <br>The games are intended for an adult audience (Aged 21 or older).<br>The games do not offer real money gambling or an opportunity to win real money or prizes. Practice or success at social casino gaming does not imply future success at real money gambling games.","https://play-lh.googleusercontent.com/L1nkm6ma5ubQ0zcWihOG86brcpVpT_N0ZYC17fMxEuVv4KLrRgckbA9ng19q013JeSGM","GAME_CASINO"
"Cash Master - Carnival Prizes","free.prizes.cash.carnival.coin.dozer.pusher","Cash Master the Brand-New Vegas Coin Pusher Game. Play and Win Big Jackpot!<br><br><b><font color=""green"">✪Breaking news! The incredible Cash Master - Carnival Prizes is HERE! Offering you a real casino experience in a brand-new way! Become the MASTER of the coin pusher machine in Cash Master! Try not to be too addictive because the fun will be totally beyond your imagination! ✪</font></b><br><br>Cash Master is a classic coin dozer pusher game, with endless coin supply, all you need is drop the coins! Extra slots feature will lead you into a surprising coin-pushing exploration! Download and start the Vegas casino coin pusher journey right away!<br><br>Hold on to your smart phone! The classic arcade coin pusher machine is in your hands! Drop the coins, use the power-ups wisely to maximize your rewards!  With the special slots feature, you can even win more! Join millions of players on the best dozer game on the store!<br><br>What kinds of unique features makes Cash Master a special coin dozer pusher game?<br>★Unbelievable winning rate slots and huge jackpot!<br>★Lifelike 3D graphics and mind-blowing coin effects!<br>★Solve the puzzles to collect prizes and special rewards, and additional rewards from coin pushers!<br>★Entertaining mini games, such as The Fortune Wheel, Scratch Cards, in which you will win HUGE rewards!<br>★10+ different styles of dozer machines from real casino!<br>★Winning the massive jackpot through the slot machine when you collect the slot machine coins!<br>★Start your lucky day with awesome daily and hourly bonuses at Cash Master - Carnival Prizes!<br><br>Unique power-up coins with different abilities will boost you up!<br>✪Silver Coins are just like normal coin but they will add double the amount to your coin balance and of course double the experience to help you level up faster!<br>✪Chips are the second important game currency, they will help you to purchase in-game boosts, mini games and even extra bonuses!<br>✪Powerups are special in-game effects to help you. You can either collect them by pushing them off the table, or by purchasing them in the Boosts menu!<br>✪Coin Walls protect items on board from falling down on both sides of the coin pusher!<br>✪Coin Shower will trigger the coin rain bonus with a massive coin drop.<br>✪Pusher Attack allows your pusher to move much further on the platform, resulting in more coins collected.<br>✪Giant Coin drops to splash everything on board, it falls from the sky like a meteor making the platform shake after a powerful hit and pushing, even more coins over the front edge.<br>✪Prize Coin brings super rare prizes waiting for you to collect and receive a huge number of coins! Once you solve a puzzle, the next one unlocks for you on a coin pusher.<br><br>Head into Cash Master now! Stunning experience and huge winnings won&#39;t let you down!","https://play-lh.googleusercontent.com/MV7UnBlR12HdjB1wqHOf4vFjNsdX3y1-k0RmoxvrqL-TyEsIidD24APFbIXCsMEzgeE","GAME_CASINO"
